"Step","Edited GRU languages 1024 - batch_loss","Edited GRU languages 1024 - batch_loss__MIN","Edited GRU languages 1024 - batch_loss__MAX","Original GRU languages 1024 - batch_loss","Original GRU languages 1024 - batch_loss__MIN","Original GRU languages 1024 - batch_loss__MAX","Edited GRU languages 512 - batch_loss","Edited GRU languages 512 - batch_loss__MIN","Edited GRU languages 512 - batch_loss__MAX","Original GRU languages 512 - batch_loss","Original GRU languages 512 - batch_loss__MIN","Original GRU languages 512 - batch_loss__MAX","Edited GRU languages 256 - batch_loss","Edited GRU languages 256 - batch_loss__MIN","Edited GRU languages 256 - batch_loss__MAX","Original GRU languages 256 - batch_loss","Original GRU languages 256 - batch_loss__MIN","Original GRU languages 256 - batch_loss__MAX"
"743","8.362064868211746","8.362064868211746","8.362064868211746","5.703514203429222","5.703514203429222","5.703514203429222","4.471671164035797","4.471671164035797","4.471671164035797","5.426333695650101","5.426333695650101","5.426333695650101","4.943992301821709","4.943992301821709","4.943992301821709","5.953931823372841","5.953931823372841","5.953931823372841"
"767","8.272619366645813","8.272619366645813","8.272619366645813","5.631389886140823","5.631389886140823","5.631389886140823","4.3947097063064575","4.3947097063064575","4.3947097063064575","5.239774018526077","5.239774018526077","5.239774018526077","4.76913957297802","4.76913957297802","4.76913957297802","5.730049967765808","5.730049967765808","5.730049967765808"
"791","8.151971161365509","8.151971161365509","8.151971161365509","5.5547405034303665","5.5547405034303665","5.5547405034303665","4.108546435832977","4.108546435832977","4.108546435832977","5.095750421285629","5.095750421285629","5.095750421285629","4.612925440073013","4.612925440073013","4.612925440073013","5.675022467970848","5.675022467970848","5.675022467970848"
"815","8.091560244560242","8.091560244560242","8.091560244560242","5.46001760661602","5.46001760661602","5.46001760661602","3.8974498510360718","3.8974498510360718","3.8974498510360718","4.967078864574432","4.967078864574432","4.967078864574432","4.473197236657143","4.473197236657143","4.473197236657143","5.596955940127373","5.596955940127373","5.596955940127373"
"839","8.022983431816101","8.022983431816101","8.022983431816101","5.387512892484665","5.387512892484665","5.387512892484665","3.6865184158086777","3.6865184158086777","3.6865184158086777","4.764710515737534","4.764710515737534","4.764710515737534","4.263318419456482","4.263318419456482","4.263318419456482","5.410118743777275","5.410118743777275","5.410118743777275"
"863","7.967388153076172","7.967388153076172","7.967388153076172","5.25700256228447","5.25700256228447","5.25700256228447","3.544452205300331","3.544452205300331","3.544452205300331","4.6888552606105804","4.6888552606105804","4.6888552606105804","4.086701020598412","4.086701020598412","4.086701020598412","5.351631984114647","5.351631984114647","5.351631984114647"
"887","7.8819683492183685","7.8819683492183685","7.8819683492183685","5.203704074025154","5.203704074025154","5.203704074025154","3.3367415741086006","3.3367415741086006","3.3367415741086006","4.5217988938093185","4.5217988938093185","4.5217988938093185","3.9734498411417007","3.9734498411417007","3.9734498411417007","5.2384138107299805","5.2384138107299805","5.2384138107299805"
"911","7.745243787765503","7.745243787765503","7.745243787765503","5.043643727898598","5.043643727898598","5.043643727898598","3.219701439142227","3.219701439142227","3.219701439142227","4.528243526816368","4.528243526816368","4.528243526816368","3.7305530458688736","3.7305530458688736","3.7305530458688736","5.171448588371277","5.171448588371277","5.171448588371277"
"935","7.751200586557388","7.751200586557388","7.751200586557388","5.044958651065826","5.044958651065826","5.044958651065826","2.8637289255857468","2.8637289255857468","2.8637289255857468","4.249568700790405","4.249568700790405","4.249568700790405","3.643799513578415","3.643799513578415","3.643799513578415","5.0168023854494095","5.0168023854494095","5.0168023854494095"
"959","7.582721173763275","7.582721173763275","7.582721173763275","4.980611279606819","4.980611279606819","4.980611279606819","2.672699436545372","2.672699436545372","2.672699436545372","4.227129682898521","4.227129682898521","4.227129682898521","3.4524312019348145","3.4524312019348145","3.4524312019348145","4.975570857524872","4.975570857524872","4.975570857524872"
"983","7.545914560556412","7.545914560556412","7.545914560556412","4.874338045716286","4.874338045716286","4.874338045716286","2.461392879486084","2.461392879486084","2.461392879486084","4.066998526453972","4.066998526453972","4.066998526453972","3.4238133877515793","3.4238133877515793","3.4238133877515793","4.850622683763504","4.850622683763504","4.850622683763504"
"1007","7.440008789300919","7.440008789300919","7.440008789300919","4.820230007171631","4.820230007171631","4.820230007171631","2.3030115962028503","2.3030115962028503","2.3030115962028503","3.9061399102211","3.9061399102211","3.9061399102211","3.230092465877533","3.230092465877533","3.230092465877533","4.778936594724655","4.778936594724655","4.778936594724655"
"1031","7.427052617073059","7.427052617073059","7.427052617073059","4.700350716710091","4.700350716710091","4.700350716710091","2.260089173913002","2.260089173913002","2.260089173913002","3.7153394371271133","3.7153394371271133","3.7153394371271133","3.1791868656873703","3.1791868656873703","3.1791868656873703","4.82424296438694","4.82424296438694","4.82424296438694"
"1055","7.355368971824646","7.355368971824646","7.355368971824646","4.601661890745163","4.601661890745163","4.601661890745163","2.0586401745676994","2.0586401745676994","2.0586401745676994","3.571527734398842","3.571527734398842","3.571527734398842","2.992320418357849","2.992320418357849","2.992320418357849","4.809451937675476","4.809451937675476","4.809451937675476"
"1079","7.23015233874321","7.23015233874321","7.23015233874321","4.537735864520073","4.537735864520073","4.537735864520073","2.0142532289028168","2.0142532289028168","2.0142532289028168","3.484004855155945","3.484004855155945","3.484004855155945","2.8324884846806526","2.8324884846806526","2.8324884846806526","4.556751176714897","4.556751176714897","4.556751176714897"
"1103","7.211619347333908","7.211619347333908","7.211619347333908","4.421242043375969","4.421242043375969","4.421242043375969","1.7746160365641117","1.7746160365641117","1.7746160365641117","3.4053671061992645","3.4053671061992645","3.4053671061992645","2.7156119346618652","2.7156119346618652","2.7156119346618652","4.468733221292496","4.468733221292496","4.468733221292496"
"1127","7.115534454584122","7.115534454584122","7.115534454584122","4.346383646130562","4.346383646130562","4.346383646130562","1.7301885969936848","1.7301885969936848","1.7301885969936848","3.2528983503580093","3.2528983503580093","3.2528983503580093","2.5938301384449005","2.5938301384449005","2.5938301384449005","4.445529967546463","4.445529967546463","4.445529967546463"
"1151","7.029012084007263","7.029012084007263","7.029012084007263","4.212300881743431","4.212300881743431","4.212300881743431","1.6217018887400627","1.6217018887400627","1.6217018887400627","3.134703427553177","3.134703427553177","3.134703427553177","2.5784647539258003","2.5784647539258003","2.5784647539258003","4.272497832775116","4.272497832775116","4.272497832775116"
"1175","6.946230888366699","6.946230888366699","6.946230888366699","4.160791903734207","4.160791903734207","4.160791903734207","1.4324179105460644","1.4324179105460644","1.4324179105460644","2.948322482407093","2.948322482407093","2.948322482407093","2.4122209697961807","2.4122209697961807","2.4122209697961807","4.229642748832703","4.229642748832703","4.229642748832703"
"1199","6.822662711143494","6.822662711143494","6.822662711143494","4.142207711935043","4.142207711935043","4.142207711935043","1.38169164955616","1.38169164955616","1.38169164955616","2.8482893630862236","2.8482893630862236","2.8482893630862236","2.339894078671932","2.339894078671932","2.339894078671932","4.270668268203735","4.270668268203735","4.270668268203735"
"1223","6.786258280277252","6.786258280277252","6.786258280277252","4.0577521324157715","4.0577521324157715","4.0577521324157715","1.4178487546741962","1.4178487546741962","1.4178487546741962","2.8175029903650284","2.8175029903650284","2.8175029903650284","2.2646862864494324","2.2646862864494324","2.2646862864494324","4.118917599320412","4.118917599320412","4.118917599320412"
"1247","6.552319586277008","6.552319586277008","6.552319586277008","3.967880219221115","3.967880219221115","3.967880219221115","1.2849376499652863","1.2849376499652863","1.2849376499652863","2.6133857145905495","2.6133857145905495","2.6133857145905495","2.0653636753559113","2.0653636753559113","2.0653636753559113","4.030552119016647","4.030552119016647","4.030552119016647"
"1271","6.502000093460083","6.502000093460083","6.502000093460083","3.9301279932260513","3.9301279932260513","3.9301279932260513","1.1873837355524302","1.1873837355524302","1.1873837355524302","2.478864334523678","2.478864334523678","2.478864334523678","1.9853993654251099","1.9853993654251099","1.9853993654251099","3.856732413172722","3.856732413172722","3.856732413172722"
"1295","6.396584838628769","6.396584838628769","6.396584838628769","3.85456882417202","3.85456882417202","3.85456882417202","1.0513027738779783","1.0513027738779783","1.0513027738779783","2.422682501375675","2.422682501375675","2.422682501375675","2.1567017883062363","2.1567017883062363","2.1567017883062363","3.793260306119919","3.793260306119919","3.793260306119919"
"1319","6.239363819360733","6.239363819360733","6.239363819360733","3.6934289783239365","3.6934289783239365","3.6934289783239365","1.0053900759667158","1.0053900759667158","1.0053900759667158","2.330088719725609","2.330088719725609","2.330088719725609","1.8839332833886147","1.8839332833886147","1.8839332833886147","3.696608155965805","3.696608155965805","3.696608155965805"
"1343","6.19541534781456","6.19541534781456","6.19541534781456","3.622804209589958","3.622804209589958","3.622804209589958","0.9028939306735992","0.9028939306735992","0.9028939306735992","2.132045656442642","2.132045656442642","2.132045656442642","1.8858895376324654","1.8858895376324654","1.8858895376324654","3.4949023723602295","3.4949023723602295","3.4949023723602295"
"1367","6.061274349689484","6.061274349689484","6.061274349689484","3.533698007464409","3.533698007464409","3.533698007464409","0.8768593408167362","0.8768593408167362","0.8768593408167362","2.174796298146248","2.174796298146248","2.174796298146248","1.7505246698856354","1.7505246698856354","1.7505246698856354","3.4650909900665283","3.4650909900665283","3.4650909900665283"
"1391","5.9492476135492325","5.9492476135492325","5.9492476135492325","3.490126594901085","3.490126594901085","3.490126594901085","0.8547332752496004","0.8547332752496004","0.8547332752496004","2.0508491471409798","2.0508491471409798","2.0508491471409798","1.7036529071629047","1.7036529071629047","1.7036529071629047","3.355165772140026","3.355165772140026","3.355165772140026"
"1415","5.765423983335495","5.765423983335495","5.765423983335495","3.4898885786533356","3.4898885786533356","3.4898885786533356","0.7039648983627558","0.7039648983627558","0.7039648983627558","1.9763703271746635","1.9763703271746635","1.9763703271746635","1.6053865440189838","1.6053865440189838","1.6053865440189838","3.2587619721889496","3.2587619721889496","3.2587619721889496"
"1439","5.719545140862465","5.719545140862465","5.719545140862465","3.3480633348226547","3.3480633348226547","3.3480633348226547","0.7278997860848904","0.7278997860848904","0.7278997860848904","1.949502520263195","1.949502520263195","1.949502520263195","1.5952801443636417","1.5952801443636417","1.5952801443636417","3.500697672367096","3.500697672367096","3.500697672367096"
"1463","5.6766465455293655","5.6766465455293655","5.6766465455293655","3.299721449613571","3.299721449613571","3.299721449613571","0.7125496752560139","0.7125496752560139","0.7125496752560139","1.778826229274273","1.778826229274273","1.778826229274273","1.5657823123037815","1.5657823123037815","1.5657823123037815","3.258977010846138","3.258977010846138","3.258977010846138"
"1487","5.554986342787743","5.554986342787743","5.554986342787743","3.2130945324897766","3.2130945324897766","3.2130945324897766","0.6273367144167423","0.6273367144167423","0.6273367144167423","1.6704068258404732","1.6704068258404732","1.6704068258404732","1.4930839948356152","1.4930839948356152","1.4930839948356152","3.0582998991012573","3.0582998991012573","3.0582998991012573"
"1511","5.462130770087242","5.462130770087242","5.462130770087242","3.121569372713566","3.121569372713566","3.121569372713566","0.5926556941121817","0.5926556941121817","0.5926556941121817","1.5576982647180557","1.5576982647180557","1.5576982647180557","1.4110896326601505","1.4110896326601505","1.4110896326601505","3.096458986401558","3.096458986401558","3.096458986401558"
"1535","5.331491470336914","5.331491470336914","5.331491470336914","3.0487938597798347","3.0487938597798347","3.0487938597798347","0.5834898706525564","0.5834898706525564","0.5834898706525564","1.4187460020184517","1.4187460020184517","1.4187460020184517","1.4053312614560127","1.4053312614560127","1.4053312614560127","3.1103445291519165","3.1103445291519165","3.1103445291519165"
"1559","5.235346645116806","5.235346645116806","5.235346645116806","2.9888279661536217","2.9888279661536217","2.9888279661536217","0.5245530884712934","0.5245530884712934","0.5245530884712934","1.3774394802749157","1.3774394802749157","1.3774394802749157","1.3906812705099583","1.3906812705099583","1.3906812705099583","2.9881754145026207","2.9881754145026207","2.9881754145026207"
"1583","5.117473781108856","5.117473781108856","5.117473781108856","2.941484645009041","2.941484645009041","2.941484645009041","0.5304057849571109","0.5304057849571109","0.5304057849571109","1.3974507935345173","1.3974507935345173","1.3974507935345173","1.3267998062074184","1.3267998062074184","1.3267998062074184","2.704418510198593","2.704418510198593","2.704418510198593"
"1607","5.0512500405311584","5.0512500405311584","5.0512500405311584","2.8415104299783707","2.8415104299783707","2.8415104299783707","0.4475921979174018","0.4475921979174018","0.4475921979174018","1.2464574463665485","1.2464574463665485","1.2464574463665485","1.2486791722476482","1.2486791722476482","1.2486791722476482","3.0597701892256737","3.0597701892256737","3.0597701892256737"
"1631","4.90624263882637","4.90624263882637","4.90624263882637","2.8608783185482025","2.8608783185482025","2.8608783185482025","0.4647805793210864","0.4647805793210864","0.4647805793210864","1.206618756055832","1.206618756055832","1.206618756055832","1.2508301511406898","1.2508301511406898","1.2508301511406898","2.9029594734311104","2.9029594734311104","2.9029594734311104"
"1655","4.867586776614189","4.867586776614189","4.867586776614189","2.7894642278552055","2.7894642278552055","2.7894642278552055","0.43032183684408665","0.43032183684408665","0.43032183684408665","1.186175536364317","1.186175536364317","1.186175536364317","1.091628359630704","1.091628359630704","1.091628359630704","2.806391090154648","2.806391090154648","2.806391090154648"
"1679","4.7186160534620285","4.7186160534620285","4.7186160534620285","2.6773599982261658","2.6773599982261658","2.6773599982261658","0.40816482435911894","0.40816482435911894","0.40816482435911894","1.1663906015455723","1.1663906015455723","1.1663906015455723","1.0913201048970222","1.0913201048970222","1.0913201048970222","2.695921517908573","2.695921517908573","2.695921517908573"
"1703","4.612853422760963","4.612853422760963","4.612853422760963","2.542455457150936","2.542455457150936","2.542455457150936","0.38759464863687754","0.38759464863687754","0.38759464863687754","1.0785744078457355","1.0785744078457355","1.0785744078457355","1.0925596952438354","1.0925596952438354","1.0925596952438354","2.7793530374765396","2.7793530374765396","2.7793530374765396"
"1727","4.529155716300011","4.529155716300011","4.529155716300011","2.6759023293852806","2.6759023293852806","2.6759023293852806","0.3627945352345705","0.3627945352345705","0.3627945352345705","1.0310841500759125","1.0310841500759125","1.0310841500759125","1.0134199038147926","1.0134199038147926","1.0134199038147926","2.576915867626667","2.576915867626667","2.576915867626667"
"1751","4.421315863728523","4.421315863728523","4.421315863728523","2.509276233613491","2.509276233613491","2.509276233613491","0.33690729923546314","0.33690729923546314","0.33690729923546314","0.946867149323225","0.946867149323225","0.946867149323225","0.9969213530421257","0.9969213530421257","0.9969213530421257","2.55217956751585","2.55217956751585","2.55217956751585"
"1775","4.3809149116277695","4.3809149116277695","4.3809149116277695","2.4166624769568443","2.4166624769568443","2.4166624769568443","0.32032711803913116","0.32032711803913116","0.32032711803913116","0.9981901124119759","0.9981901124119759","0.9981901124119759","0.9808173980563879","0.9808173980563879","0.9808173980563879","2.4649518355727196","2.4649518355727196","2.4649518355727196"
"1799","4.306272849440575","4.306272849440575","4.306272849440575","2.336436375975609","2.336436375975609","2.336436375975609","0.30035769660025835","0.30035769660025835","0.30035769660025835","0.9312389176338911","0.9312389176338911","0.9312389176338911","0.9271750394254923","0.9271750394254923","0.9271750394254923","2.2965447679162025","2.2965447679162025","2.2965447679162025"
"1823","4.208636850118637","4.208636850118637","4.208636850118637","2.216356575489044","2.216356575489044","2.216356575489044","0.2655245503410697","0.2655245503410697","0.2655245503410697","0.8516079001128674","0.8516079001128674","0.8516079001128674","0.8735364936292171","0.8735364936292171","0.8735364936292171","2.333983637392521","2.333983637392521","2.333983637392521"
"1847","4.0496416091918945","4.0496416091918945","4.0496416091918945","2.183430425822735","2.183430425822735","2.183430425822735","0.25974925700575113","0.25974925700575113","0.25974925700575113","0.8392485417425632","0.8392485417425632","0.8392485417425632","0.891359206289053","0.891359206289053","0.891359206289053","2.4619468934834003","2.4619468934834003","2.4619468934834003"
"1871","3.952230751514435","3.952230751514435","3.952230751514435","2.096677452325821","2.096677452325821","2.096677452325821","0.25087561644613743","0.25087561644613743","0.25087561644613743","0.8138545099645853","0.8138545099645853","0.8138545099645853","0.815437501296401","0.815437501296401","0.815437501296401","2.287756286561489","2.287756286561489","2.287756286561489"
"1895","3.962510198354721","3.962510198354721","3.962510198354721","2.089261904358864","2.089261904358864","2.089261904358864","0.24728944897651672","0.24728944897651672","0.24728944897651672","0.7308720629662275","0.7308720629662275","0.7308720629662275","0.791737062856555","0.791737062856555","0.791737062856555","2.2663553059101105","2.2663553059101105","2.2663553059101105"
"1919","3.8011633157730103","3.8011633157730103","3.8011633157730103","1.964062288403511","1.964062288403511","1.964062288403511","0.2542804041877389","0.2542804041877389","0.2542804041877389","0.6884608529508114","0.6884608529508114","0.6884608529508114","0.7846058588474989","0.7846058588474989","0.7846058588474989","2.215839609503746","2.215839609503746","2.215839609503746"
