"Step","Edited GRU books 1024 - batch_loss","Edited GRU books 1024 - batch_loss__MIN","Edited GRU books 1024 - batch_loss__MAX","Original GRU books 1024 - batch_loss","Original GRU books 1024 - batch_loss__MIN","Original GRU books 1024 - batch_loss__MAX","Edited GRU books 512 - batch_loss","Edited GRU books 512 - batch_loss__MIN","Edited GRU books 512 - batch_loss__MAX","Original GRU books 512 - batch_loss","Original GRU books 512 - batch_loss__MIN","Original GRU books 512 - batch_loss__MAX","Edited GRU books 256 - batch_loss","Edited GRU books 256 - batch_loss__MIN","Edited GRU books 256 - batch_loss__MAX","Original GRU books 256 - batch_loss","Original GRU books 256 - batch_loss__MIN","Original GRU books 256 - batch_loss__MAX"
"6698","","","","36.50286674499512","36.50286674499512","36.50286674499512","35.43206641450524","35.43206641450524","35.43206641450524","33.070858009159565","33.070858009159565","33.070858009159565","38.72924665734172","38.72924665734172","38.72924665734172","38.25875685364008","38.25875685364008","38.25875685364008"
"7017","","","","36.18815020099282","36.18815020099282","36.18815020099282","35.20548789948225","35.20548789948225","35.20548789948225","31.852084256708622","31.852084256708622","31.852084256708622","38.62589901406318","38.62589901406318","38.62589901406318","39.26928999274969","39.26928999274969","39.26928999274969"
"7336","","","","35.63758243434131","35.63758243434131","35.63758243434131","34.74751926586032","34.74751926586032","34.74751926586032","31.779399171471596","31.779399171471596","31.779399171471596","38.16120618209243","38.16120618209243","38.16120618209243","37.74881149828434","37.74881149828434","37.74881149828434"
"7655","","","","35.101792234927416","35.101792234927416","35.101792234927416","33.866822969168425","33.866822969168425","33.866822969168425","31.42003010958433","31.42003010958433","31.42003010958433","36.9308322109282","36.9308322109282","36.9308322109282","38.905830807983875","38.905830807983875","38.905830807983875"
"7974","","","","34.124557103961706","34.124557103961706","34.124557103961706","33.18757725507021","33.18757725507021","33.18757725507021","30.62832542322576","30.62832542322576","30.62832542322576","37.229679483920336","37.229679483920336","37.229679483920336","38.163164637982845","38.163164637982845","38.163164637982845"
"8293","","","","33.74757418781519","33.74757418781519","33.74757418781519","32.66534188389778","32.66534188389778","32.66534188389778","30.52011926844716","30.52011926844716","30.52011926844716","36.514971762895584","36.514971762895584","36.514971762895584","36.49977442622185","36.49977442622185","36.49977442622185"
"8612","","","","33.63383183255792","33.63383183255792","33.63383183255792","32.451943788677454","32.451943788677454","32.451943788677454","29.80082487128675","29.80082487128675","29.80082487128675","36.77167968079448","36.77167968079448","36.77167968079448","37.415720637887716","37.415720637887716","37.415720637887716"
"8931","","","","32.60380178876221","32.60380178876221","32.60380178876221","32.35038900747895","32.35038900747895","32.35038900747895","29.622711088508368","29.622711088508368","29.622711088508368","36.98533020541072","36.98533020541072","36.98533020541072","35.6209131591022","35.6209131591022","35.6209131591022"
"9250","","","","32.78139190748334","32.78139190748334","32.78139190748334","32.624299647286534","32.624299647286534","32.624299647286534","29.42487695068121","29.42487695068121","29.42487695068121","36.48474406078458","36.48474406078458","36.48474406078458","36.172493647783995","36.172493647783995","36.172493647783995"
"9569","","","","30.99586127139628","30.99586127139628","30.99586127139628","31.515594743192196","31.515594743192196","31.515594743192196","28.34453298524022","28.34453298524022","28.34453298524022","35.69365152716637","35.69365152716637","35.69365152716637","35.3650245629251","35.3650245629251","35.3650245629251"
